problem_id,B_raw,B_log,z_B,s_B,T_raw_sec,T_ratio,T_log1p,z_T,s_T,AC_rate,H_diff,z_H,s_H,WA_prob,z_WA,s_WA,r_score,w_p
ABC392,194.0,2.287801729930226,0.794637198494669,3,0.061897,0.0309485,0.030479252283810217,-1.1099218058382025,0,0.795538,0.20446200000000003,-0.5431687708553892,1,0.141746,-0.3188383909564422,2,7.5,1.0
ABC393,235.0,2.3710678622717363,1.3619360574402701,3,0.069966,0.034983,0.034385001461665676,-0.7344672051885421,0,0.796398,0.20360199999999995,-0.5534928910634889,1,0.119512,-0.5928937061567103,1,6.0,0.8235294117647058
ABC394,97.0,1.9867717342662448,-1.2563043817886355,0,0.077441,0.0387205,0.0379896672655947,-0.3879553586104252,2,0.839244,0.160756,-1.0678501636637185,0,0.083424,-1.0377128216981006,0,2.0,0.35294117647058826
ABC395,155.0,2.1903316981702914,0.13056603001508477,2,0.075336,0.037668,0.03697588772468302,-0.4854086704712708,1,0.691221,0.308779,0.7091350055960471,3,0.215598,0.5914581430981675,3,12.0,1.5294117647058822
ABC396,184.0,2.2648178230095364,0.6380459914389404,2,0.07534,0.03767,0.036977815121569696,-0.4852233923094055,1,0.679855,0.320145,0.8455814594161053,3,0.231565,0.7882666893697639,3,12.0,1.5294117647058822
ABC397,144.0,2.1583624920952498,-0.08724274310510718,1,0.073792,0.036896,0.03623163492203627,-0.5569527267011065,1,0.731827,0.268173,0.22166846470063156,2,0.195988,0.3497461375626247,2,8.0,1.0588235294117647
ABC398,113.0,2.05307844348342,-0.8045514370852237,0,0.075544,0.037772,0.03707610743721342,-0.4757746795435722,1,0.799958,0.20004200000000005,-0.5962299468086405,1,0.136507,-0.38341407667804916,1,4.0,0.5882352941176471
ABC399,115.0,2.060697840353612,-0.7526398731784819,0,0.078304,0.039152,0.03840499593104721,-0.34803035290090595,2,0.836875,0.16312499999999996,-1.039410813927689,0,0.088903,-0.9701789064339885,0,2.0,0.35294117647058826
ABC400,183.0,2.2624510897304293,0.6219212471892703,2,0.078676,0.039338,0.03858397201512412,-0.33082561416501194,2,0.812041,0.187959,-0.7412838357324284,0,0.117871,-0.6131206006535906,1,5.5,0.7647058823529411
ABC401,126.0,2.100370545117563,-0.4823465436940855,0,0.072356,0.036178,0.035538943750655715,-0.623540230219966,0,0.759066,0.24093399999999998,-0.10533003570448639,2,0.141562,-0.32110636693902983,1,4.5,0.6470588235294118
ABC402,76.0,1.8808135922807914,-1.9782057281584535,0,0.071843,0.0359215,0.035291368765660885,-0.6473392922921283,0,0.86506,0.13493999999999995,-1.3777658465617155,0,0.062454,-1.2961881279745069,0,0.0,0.11764705882352941
ABC403,135.0,2.130333768495006,-0.27820469208701026,1,0.076404,0.038202,0.0374903708202322,-0.43595207805217473,1,0.808704,0.19129600000000002,-0.7012238483668171,1,0.101786,-0.8113836097835858,0,3.5,0.5294117647058824
ABC404,133.0,2.123851640967086,-0.32236794846412725,1,0.073641,0.0368205,0.03615881879694554,-0.5639524463251423,1,0.726363,0.273637,0.28726264239487775,2,0.181437,0.17039114559180962,2,8.0,1.0588235294117647
ABC405,250.0,2.3979400086720375,1.5450181529047935,3,0.08508,0.04254,0.04166004325929287,-0.035126876750587996,2,0.708955,0.291045,0.49624204307229924,2,0.217901,0.619844820749792,3,12.5,1.588235294117647
ABC406,222.0,2.346352974450639,1.193551538241371,3,0.080807,0.0404035,0.03960861867743522,-0.2323276600244304,2,0.672413,0.32758699999999996,0.9349211135889776,3,0.253374,1.057083473088512,3,14.0,1.7647058823529411
ABC407,159.0,2.2013971243204513,0.20595566866175816,2,0.082449,0.0412245,0.040397424403117076,-0.1565007891118795,2,0.677477,0.322523,0.8741288522705921,3,0.260967,1.1506744602395256,3,13.0,1.6470588235294117
ABC408,219.0,2.3404441148401185,1.1532940023086393,3,0.072124,0.036062,0.0354269876064628,-0.6343024290950375,0,0.4787,0.5213,3.2604051808813375,3,0.448382,3.4607435840255394,3,12.0,1.5294117647058822
ABC409,176.0,2.24551266781415,0.5065184158672487,2,0.069856,0.034928,0.034331859080169135,-0.7395757133680949,0,0.587829,0.41217099999999995,1.9503343504283066,3,0.319166,1.86803279834065,3,11.0,1.411764705882353
ABC410,179.0,2.2528530309798933,0.5565289006955033,2,0.068869,0.0344345,0.033854900587536256,-0.7854251143980574,0,0.841569,0.158431,-1.0957613025984043,0,0.082667,-1.0470435707134196,0,2.0,0.35294117647058826
ABC411,84.0,1.9242792860618816,-1.6820704593296076,0,0.068934,0.034467,0.03388631822631961,-0.7824049775470692,0,0.814144,0.18585600000000002,-0.7665299110785113,0,0.112307,-0.6817022222140068,0,0.0,0.11764705882352941
ABC412,151.0,2.1789769472931693,0.053205198725558484,1,0.073689,0.0368445,0.03618196621950519,-0.5617273146289044,1,0.83722,0.16278000000000004,-1.0435524668018674,0,0.090017,-0.9564477909741926,0,2.0,0.35294117647058826
ABC413,170.0,2.230448921378274,0.4038878994230736,2,0.084717,0.0423585,0.04148593406360925,-0.05186376782015748,2,0.784207,0.215793,-0.4071424847182188,1,0.136484,-0.3836975736758725,1,7.0,0.9411764705882353
ABC414,189.0,2.2764618041732443,0.7173773719414367,3,0.107364,0.053682,0.05229069681633557,0.98678405612091,3,0.844515,0.15548499999999998,-1.1311274167066123,0,0.085078,-1.0173256897676677,0,6.0,0.8235294117647058
ABC415,154.0,2.187520720836463,0.11141461527827037,1,0.102051,0.0510255,0.049766354207522706,0.7441222765400832,3,0.792455,0.20754499999999998,-0.5061580003884498,1,0.114138,-0.6591333959959762,1,7.0,0.9411764705882353
ABC416,133.0,2.123851640967086,-0.32236794846412725,1,0.145572,0.072786,0.07025900293746583,2.714054009170995,3,0.687188,0.312812,0.7575503274556538,3,0.217845,0.6191545671898739,3,13.0,1.6470588235294117
ABC417,68.0,1.8325089127062364,-2.3073093965261116,0,0.14554,0.07277,0.07024408838850947,2.7126202929318604,3,0.72976,0.27024000000000004,0.24648236757288797,2,0.1903,0.27963609740524753,2,9.0,1.1764705882352942
ABC418,84.0,1.9242792860618816,-1.6820704593296076,0,0.133736,0.066868,0.0647272533265311,2.1822940966699598,3,0.673486,0.32651399999999997,0.9220399729107336,3,0.188937,0.2628358187951024,2,10.5,1.3529411764705883
ABC419,188.0,2.27415784926368,0.7016803417743909,3,0.115261,0.0576305,0.05603102857993639,1.3463372953719415,3,0.723782,0.27621799999999996,0.3182470078101129,2,0.192914,0.31185614750570184,2,12.0,1.5294117647058822
ABC420,226.0,2.3541084391474008,1.2463901431980777,3,0.089811,0.0449055,0.043926450705669536,0.1827399303432538,3,0.746567,0.253433,0.04471784625019549,2,0.182878,0.18815284880326924,2,12.0,1.5294117647058822
ABC421,149.0,2.173186268412274,0.01375283761217239,1,0.092267,0.0461335,0.04510098656193272,0.2956465382130743,3,0.766343,0.233657,-0.1926888993723169,1,0.116689,-0.6276898811504297,1,7.0,0.9411764705882353
