track,k,mean_pass,mean_pass_ci_lo,mean_pass_ci_hi,d_pass,d_pass_ci_lo,d_pass_ci_hi
CoT,1,0.6300000000000001,0.49931666666666663,0.7463583333333332,0.641392156862745,0.5113142073921971,0.7593818437407517
CoT,2,0.7416700336700335,0.6175599326599326,0.8481318181818182,0.7632141018023372,0.6435911349958525,0.8656065934600339
CoT,3,0.7933244691816121,0.6640450731807874,0.9029516285302,0.8214338705179043,0.7065031135963952,0.9167366753280292
CoT,4,0.8214479743787549,0.6941343474721974,0.9285262726146378,0.8540683872424322,0.7444717235962215,0.9404760736698098
CoT,5,0.8380627816314487,0.7060679058096216,0.946970164621352,0.8737483614189194,0.7633610521663345,0.9570936166767231
CoT,6,0.8484512560297962,0.7196365973704959,0.9576457197693937,0.8862183648381663,0.7773802376038674,0.9676528413550726
CoT,7,0.8552309073430683,0.7280798749488431,0.9578743226710612,0.8944258163554812,0.7791740695120057,0.9752439037089551
CoT,8,0.8598119269241112,0.7295637523609679,0.9620489932168216,0.9000011391047058,0.7920222569125104,0.9818854098524811
CoT,9,0.8630033065214094,0.7320553307186601,0.9629951487164012,0.9038960117819115,0.7876394624945915,0.9843159572315673
CoT,10,0.8652916539114416,0.7331061571660783,0.9669067438773262,0.9066890896575679,0.7913744890559922,0.9903603457693937
CoT,11,0.8669803430019234,0.7375861155612928,0.9659858308286834,0.9087437553713902,0.7978277040405996,0.9907636819195509
CoT,12,0.8682638055272333,0.7368482387238967,0.9670175697465424,0.9102943025661463,0.796572135202739,0.9906828775256853
CoT,13,0.8692694145936702,0.7404806229524453,0.9682121946824325,0.9114951943242827,0.8049972486181833,0.9934656258548443
CoT,14,0.8700821314425732,0.7368448739758916,0.9691716535780407,0.9124502491017034,0.8007431937870501,0.9937428649263254
CoT,15,0.8707595024779831,0.7483028217495779,0.9701117902384793,0.9132304451035395,0.8126123803747545,0.9945178894251836
CoT,16,0.871341028718648,0.7432984579536795,0.9711399723525356,0.9138850483303881,0.8039384029430927,0.9939034726456158
CoT,17,0.8718541458376561,0.7495046124765021,0.966772706913667,0.9144487151751951,0.8078682898031002,0.9952508314952377
CoT,18,0.8723181098605293,0.7393211029213201,0.9723118611929018,0.9149461118492773,0.8088390377008996,0.9950273228886435
CoT,19,0.8727465615700368,0.7457600670858233,0.9722837187577021,0.9153949715505854,0.8140066289083918,0.9931939474466037
CoT,20,0.8731492426742885,0.7399937688046512,0.9668178397601426,0.9158081511651152,0.8109284515848167,0.9953124207933232
CoT,21,0.8735331591213851,0.7473241217498738,0.9734124230633637,0.9161950365471629,0.8094077069463945,0.9957149959426854
CoT,22,0.873903379135743,0.7479081992792654,0.9666650355605685,0.9165625168279999,0.8087884625614686,0.995232957889063
CoT,23,0.8742635868370049,0.7485310539091592,0.9741981955150214,0.9169156691393986,0.8157960849826555,0.9955924637252503
CoT,24,0.874616470339718,0.7413301478018017,0.9745669469454696,0.9172582457941965,0.8170196771113702,0.9959235997964606
CoT,25,0.8749639964672913,0.749999922440569,0.9748926561249213,0.9175930247374365,0.8122750795575846,0.9923132632763506
CoT,26,0.875307606930319,0.7506409185999185,0.9752588722453853,0.9179220640483099,0.8139462957110121,0.9928534610333885
CoT,27,0.8756483595304935,0.7423326546608534,0.9666664364086835,0.9182468882457774,0.811952530000528,0.9951889373372135
CoT,28,0.8759870304971417,0.761308035351405,0.9759876827775367,0.9185686255610599,0.8222311512842216,0.9958613454751121
CoT,29,0.8763241890884619,0.7483243765888346,0.9763239975721943,0.9188881095954966,0.8140181144629156,0.9961050424440666
CoT,30,0.8766602522336228,0.753333332722762,0.9766473487929181,0.9192059548845777,0.8131250022276468,0.9933948019878976
CoT,31,0.8769955247037386,0.7539955925685017,0.9769910618653077,0.9195226132059098,0.8181061285764267,0.9956255311234604
CoT,32,0.8773302287227309,0.7546605383734744,0.9773210774835891,0.919838415595626,0.8133453236333356,0.9959373806934385
CoT,33,0.8776645258304796,0.7553311941867735,0.9776644810635857,0.9201536037119514,0.8203967196525901,0.9959153896669887
CoT,34,0.8779985330372553,0.7559999869627748,0.9779985093992367,0.9204683532342578,0.8225853331457387,0.9960763316018182
CoT,35,0.8783323347583298,0.7566656679763648,0.9783323214857081,0.9207827912967083,0.8262360525815755,0.9962094016774156
CoT,36,0.8786659916226579,0.7573326582199704,0.9666666661891921,0.9210970094505672,0.8193636431296415,0.9909317425660602
CoT,37,0.8789995469633337,0.7666653119511267,0.9789995450208252,0.9214110732758878,0.8236001036973455,0.9957620584279062
CoT,38,0.879333031588491,0.7586666666654185,0.9793327310650114,0.9217250294852247,0.8203443771718334,0.9959842009591982
CoT,39,0.8796664672776235,0.7463333333076704,0.9796662740219106,0.9220389111536894,0.8203658451833096,0.9956175265071227
CoT,40,0.8799998693345719,0.7599999993851989,0.9799998690365326,0.9223527415529236,0.8261109721306821,0.996102111574036
CoT,41,0.8803332484439357,0.760666579357894,0.9803331638683975,0.9226665369482163,0.8197944110820004,0.9959270896108611
CoT,42,0.8806666120146478,0.7613333332524357,0.9666666666647385,0.9229803086285372,0.8275419794022638,0.9957550891358343
CoT,43,0.8809999651473529,0.7619999999596212,0.9666666666665955,0.9232940643715545,0.8302102350483482,0.9958854034431579
CoT,44,0.8813333113269909,0.7626666666654714,0.9813331810779576,0.9236078094945123,0.8273440591680893,0.9958679815447359
CoT,45,0.8816666529156164,0.76333333332377,0.9816666529247455,0.9239215476031891,0.8291037226050105,0.9961320642394778
CoT,46,0.8819999915007752,0.7639999999954793,0.9819999830015504,0.9242352811220257,0.8240546082542164,0.9958348302551416
CoT,47,0.882333328140046,0.7489999948087309,0.982333322946782,0.9245490116666462,0.8162290448342324,0.9922330020428975
CoT,48,0.8826666635314182,0.765333333254052,0.9826666604763599,0.9248627403036224,0.8270053438839217,0.9958561148886046
CoT,49,0.8829999981310573,0.7659999999995671,0.9670749998131457,0.9251764677301484,0.8302405163744639,0.9962336983791211
CoT,50,0.8833333322340219,0.7666666655671699,0.9833333311625378,0.9254901943972591,0.8275133526279983,0.9923664090231801
CoT,51,0.8836666660290953,0.7666666666666648,0.98366666540761,0.9258039205935717,0.8278315523598581,0.9960864842758211
CoT,52,0.8839999996356859,0.7666666663023525,0.9839999989071208,0.9261176465016592,0.8264286164512825,0.9957393367963389
CoT,53,0.8843333331284119,0.7666666664617575,0.9686666666666668,0.926431372235619,0.8314814853689151,0.9957812538009049
CoT,54,0.8846666665533078,0.7666666665533125,0.9846666664427924,0.9267450978658469,0.8283658726272342,0.9959018488673786
CoT,55,0.8849999999383928,0.7666666665419157,0.9849999999383928,0.9270588234351904,0.8285684398301437,0.9959597995143448
CoT,56,0.8853333333004765,0.7705666665705617,0.9853333333012986,0.9273725489693566,0.8304304347812158,0.9961097003899546
CoT,57,0.8856666666494916,0.7712166666331756,0.9856666666323161,0.9276862744835362,0.8310887864314346,0.9960081828375121
CoT,58,0.8859999999912128,0.7666666666576596,0.9719999999999999,0.9279999999865608,0.8286686701271893,0.9961015541310719
CoT,59,0.8863333333289398,0.7726666666578796,0.9863333333289398,0.9283137254834765,0.8338829756468054,0.9952284149936824
CoT,60,0.8866666666645234,0.7666666666666669,0.9866666666602371,0.9286274509771144,0.8335186673592895,0.9957189258989934
CoT,61,0.886999999998982,0.7666666666666667,0.986999999998982,0.9289411764690313,0.8296334388850954,0.9961612284024517
CoT,62,0.8873333333328635,0.766666666666655,0.9873333333323937,0.9292549019600658,0.8388486332102952,0.9961694911543639
CoT,63,0.8876666666664564,0.7666666666666667,0.9756416666666493,0.929568627450659,0.8318120745779909,0.9959436146454318
CoT,64,0.8879999999999091,0.7546666666666667,0.9879999999998182,0.9298823529410374,0.8260859453990292,0.9959679447653629
CoT,65,0.8883333333332953,0.7666666666666287,0.9883333333332955,0.9301960784313148,0.8367295685396777,0.9962407778357103
CoT,66,0.8886666666666515,0.7657333333333038,0.9886666666666515,0.9305098039215455,0.8274115430691348,0.9960165279476155
CoT,67,0.8889999999999942,0.7666666666666608,0.978,0.930823529411756,0.8309906018698773,0.9956671844174854
CoT,68,0.8893333333333312,0.768,0.9893333333333271,0.9311372549019578,0.8363538328743999,0.9954477112844262
CoT,69,0.889666666666666,0.7666666666666645,0.9896666666666653,0.9314509803921558,0.8308514046622834,0.9952066449884589
CoT,70,0.8899999999999998,0.7666666666666664,0.9899999999999998,0.9317647058823527,0.8349171842650099,0.9962703652069324
CoT,71,0.8903333333333333,0.7666666666666667,0.9903333333333333,0.932078431372549,0.8369309550437295,0.9960161342700764
CoT,72,0.8906666666666666,0.7718666666666666,0.9906666666666666,0.9323921568627451,0.8349853147430081,0.9959351654875576
CoT,73,0.891,0.7666666666666667,0.991,0.9327058823529412,0.8431442034238554,0.9954606549364614
CoT,74,0.8913333333333334,0.7738166666666666,0.9913333333333334,0.9330196078431372,0.840768146548083,0.9959766583533135
CoT,75,0.8916666666666667,0.775,0.9916666666666667,0.9333333333333333,0.8395274758238462,0.9958936437350668
CoT,76,0.892,0.7666666666666667,0.9919999999999999,0.9336470588235294,0.8376116569304302,0.9959351654875576
CoT,77,0.8923333333333333,0.7846666666666666,0.9923333333333333,0.9339607843137255,0.8374066177488579,0.9940285592497866
CoT,78,0.8926666666666667,0.7666666666666667,0.9853333333333334,0.9342745098039216,0.8359495781438327,0.995807783018868
CoT,79,0.893,0.7789999999999999,0.993,0.9345882352941176,0.8375803014810173,0.9965766418720691
CoT,80,0.8933333333333333,0.7666666666666667,0.9933333333333334,0.9349019607843138,0.8352322171451955,0.9960788143382353
CoT,81,0.8936666666666666,0.7871749999999998,0.9936666666666666,0.9352156862745098,0.846747697895524,0.9959919839679359
CoT,82,0.894,0.788,0.994,0.9355294117647059,0.8486676629437365,0.996139182121841
CoT,83,0.8943333333333334,0.7886666666666666,0.9943333333333333,0.935843137254902,0.8475418337934084,0.9960478198624382
CoT,84,0.8946666666666666,0.7893333333333333,0.9946666666666667,0.9361568627450981,0.8423420715797765,0.9960939403630604
CoT,85,0.895,0.7750000000000001,0.995,0.9364705882352942,0.8398322021411666,0.9958768173407349
CoT,86,0.8953333333333333,0.7666666666666667,0.9953333333333333,0.9367843137254902,0.8454558358598202,0.9961100057496624
CoT,87,0.8956666666666667,0.7666666666666667,0.9956666666666667,0.9370980392156864,0.8359905263157894,0.9961394029360757
CoT,88,0.896,0.7666666666666667,0.996,0.9374117647058823,0.8438139728661468,0.9963708521568251
CoT,89,0.8963333333333333,0.7666666666666667,0.9963333333333334,0.9377254901960784,0.839996254681648,0.9967530659865423
CoT,90,0.8966666666666666,0.7900000000000001,0.9966666666666666,0.9380392156862745,0.8467679082540419,0.9970100380754586
CoT,91,0.897,0.7666666666666667,0.997,0.9383529411764705,0.8445129169801856,0.9973287555881124
CoT,92,0.8973333333333334,0.7887666666666667,0.9946666666666668,0.9386666666666666,0.84437899095565,0.9964858269597007
CoT,93,0.8976666666666666,0.7929999999999999,0.9976666666666667,0.9389803921568627,0.8449319696265303,0.9978585086042064
CoT,94,0.898,0.7666666666666667,0.996,0.9392941176470588,0.8457550181954715,0.9965162822661344
CoT,95,0.8983333333333333,0.7966666666666666,0.9983333333333333,0.9396078431372549,0.8497246959442266,0.9983613167636172
CoT,96,0.8986666666666667,0.7666666666666667,0.9986666666666667,0.9399215686274509,0.8436800000000001,0.9987455825573472
CoT,97,0.8989999999999999,0.7666666666666667,0.999,0.9402352941176471,0.8482118553121647,0.9990286794831392
CoT,98,0.8993333333333333,0.7666666666666667,0.9986666666666667,0.9405490196078431,0.84640758660567,0.9989084869169511
CoT,99,0.8996666666666666,0.799325,0.9996666666666667,0.9408627450980392,0.8486513465660238,0.999680638722555
CoT,100,0.9,0.7666666666666667,1.0,0.9411764705882353,0.848419542709232,1.0
baseline,1,0.6273333333333332,0.49166666666666675,0.7496666666666666,0.6135882352941177,0.47830404322200387,0.7407523957875755
baseline,2,0.7333670033670032,0.605378787878788,0.8570018518518518,0.7307466825113883,0.605797941980877,0.8497686317321685
baseline,3,0.7780127808699239,0.645342377860235,0.9002373634302205,0.783309347981617,0.6575815318981296,0.8958713031764043
baseline,4,0.8017161643789037,0.6679374610825273,0.913604438451419,0.8120759041511012,0.6725981927157977,0.91699109365998
baseline,5,0.8163606593319405,0.6833294409330171,0.9315269359715926,0.8298513394736216,0.6968262293997859,0.9340328387971152
baseline,6,0.826315650190098,0.691967014138808,0.943827578854755,0.8417137591253804,0.707233880645365,0.9449766443427328
baseline,7,0.8334904138528504,0.7001130151184037,0.9485652369560265,0.8500290410739446,0.7180412438526851,0.9521467989458906
baseline,8,0.8388610238292826,0.7002467218880413,0.9483492855073377,0.8560581659788469,0.7205015241072283,0.9526646350285773
baseline,9,0.8429926043239466,0.7100156015907844,0.9574377036803375,0.8605442039159937,0.7356803810034117,0.9605014813452097
baseline,10,0.84624213326662,0.7142907427986233,0.9602345060482992,0.8639563176333861,0.7360059886942869,0.962150179658981
baseline,11,0.84884824425521,0.7175160039111412,0.9632140556832482,0.8666046063996904,0.7379323651089321,0.9665371435892289
baseline,12,0.8509762966371893,0.7182160481740505,0.9635268797234734,0.8687003571146013,0.743087797424837,0.9672859822862611
baseline,13,0.8527435612854728,0.7197053903373833,0.9635779600027011,0.8703905333313126,0.7340274741979288,0.9649180519601044
baseline,14,0.8542345178528999,0.7214206549076636,0.9641261181194671,0.8717788599738961,0.7400161040357629,0.9682165793972902
baseline,15,0.8555107208479933,0.7253392981146867,0.9654301382384662,0.8729393460449886,0.7527966916722312,0.9699268118102093
baseline,16,0.8566174323688446,0.7230249847092153,0.9656929628261145,0.873925260968793,0.7380292557603825,0.9705782333349826
baseline,17,0.8575882085880636,0.7245385916766186,0.9662339727491134,0.8747752417169569,0.7487133565158512,0.971366109552384
baseline,18,0.8584481323037474,0.7252804431326922,0.9662797004491509,0.8755175219161461,0.7457384961184536,0.9709558118058339
baseline,19,0.8592161207270704,0.733084509095745,0.966393033351874,0.8761728977257632,0.7551895955645481,0.9718079234859395
baseline,20,0.8599065872865419,0.7330844039387561,0.9664788963846515,0.8767568265348133,0.7571626012586452,0.9705466744840258
baseline,21,0.8605306450018697,0.7272147825972678,0.9665197038641319,0.8772809212741305,0.7483542026365329,0.9758743580530438
baseline,22,0.8610969809315281,0.7330737970074941,0.966587070303088,0.8777540187818496,0.7574558092028574,0.9756370489128047
baseline,23,0.8616124928443257,0.7283102658360767,0.9666271604344984,0.878182945560352,0.7482898715751748,0.975009320629497
baseline,24,0.8620827531716935,0.7287809232215486,0.9666244105907009,0.8785730673512152,0.7453637127313576,0.9715020031676397
baseline,25,0.8625123471399891,0.7291938017690581,0.9666423520786313,0.8789286837173463,0.7462509088301842,0.9757563621505057
baseline,26,0.8629051191278854,0.733213979240157,0.9666511941304008,0.8792533112823719,0.7549888279719017,0.9741115962973387
baseline,27,0.863264352075507,0.7299404554978799,0.9666522908860341,0.8795498869306675,0.7534793046035775,0.9760337651636387
baseline,28,0.863592898097819,0.7302641696412868,0.9666612444345429,0.8798209134934974,0.754897471647486,0.9774225743002941
baseline,29,0.8638932735899549,0.7305640363012635,0.9666617339034452,0.8800685641598022,0.7571547402509865,0.977455612782154
baseline,30,0.8641677285501957,0.7332657724383528,0.9666625443477135,0.8802947573237629,0.7510056294307264,0.9751249702197053
baseline,31,0.864418297231322,0.7310859223167329,0.9666639745777359,0.8805012103113115,0.7506059863851008,0.9715869165820181
baseline,32,0.8646468353090966,0.7313141302640627,0.9666640550027664,0.8806894780612253,0.7519314284460399,0.9733099950231264
baseline,33,0.8648550473441681,0.7315222074341093,0.9666655000037818,0.8808609811229294,0.749512029922171,0.973826167844857
baseline,34,0.8650445072768663,0.731711433772185,0.9650854671183403,0.8810170260932999,0.7556425339177741,0.9740706498674482
baseline,35,0.8652166739348075,0.7318833399805634,0.966666131875562,0.8811588207191868,0.7492134200455126,0.9768179165448077
baseline,36,0.8653729029783475,0.7320395692805793,0.9666664424872713,0.8812874852470741,0.7511155842898756,0.9727890639528829
baseline,37,0.8655144563049261,0.7321810995723231,0.9666665189033891,0.8814040611378694,0.7462537047562231,0.9792581868583338
baseline,38,0.8656425096403735,0.7323092014292677,0.9666666060269281,0.8815095179332686,0.7550424349877716,0.9781096111583027
baseline,39,0.8657581588337274,0.7324248623571933,0.9666666370471587,0.8816047588240252,0.7541767992056161,0.9797600885098497
baseline,40,0.8658624252201265,0.7333333031668525,0.9666666365584995,0.8816906253031049,0.7572981194409927,0.9782897414984539
baseline,41,0.8659562603077267,0.7326229235108912,0.966666639551479,0.8817679011687536,0.7540001190019201,0.9704515770426294
baseline,42,0.8660405499673788,0.7327072185391617,0.9666666545853515,0.8818373160598438,0.7504170195314612,0.9780383722710317
baseline,43,0.8661161182492669,0.7327827832853107,0.9666666603846948,0.8818995486482917,0.7490982856347828,0.9782427623751657
baseline,44,0.8661837309124106,0.7328503982104564,0.9666666633146063,0.8819552295734993,0.7542691818231856,0.9798011897707333
baseline,45,0.8662440987262257,0.7329107654593788,0.9666666654955323,0.8820049441764094,0.7488221309917967,0.9793766729567405
baseline,46,0.8662978805848495,0.7333333322837088,0.9666666657823874,0.8820492350720865,0.7544487138098009,0.9782145456286141
baseline,47,0.8663456864622074,0.7330123532700407,0.9666666660587329,0.8820886045870993,0.7519077076355432,0.9797213999507913
baseline,48,0.8663880802271372,0.733054747137393,0.9666666663491377,0.8821235170794927,0.7544297322387573,0.9772961338318671
baseline,49,0.8664255823320013,0.7330922490366407,0.9666666665247792,0.8821544011534884,0.7534500075281048,0.9789604088667909
